Nom,Carpeta,GB
Narcos.1x02.La.Espada.de.SImon.Bolivar.m720p.DescargasMix.mkv,/Volumes/INTENSO/Movies/Movies tmp2/NARCOS/TEMPORADA 1,0.68993207
Narcos.1x03.Los.hombres.de.siempre.m720p.DescargasMix.mkv,/Volumes/INTENSO/Movies/Movies tmp2/NARCOS/TEMPORADA 1,0.6889350620000001
Narcos.1x04.El.palacio.en.llamas.m720p.DescargasMix.mkv,/Volumes/INTENSO/Movies/Movies tmp2/NARCOS/TEMPORADA 1,0.648440745
Narcos.1x05.Habra.un.futuro.m720p.DescargasMix.mkv,/Volumes/INTENSO/Movies/Movies tmp2/NARCOS/TEMPORADA 1,0.810882897
Narcos.1x06.Explosivos.m720p.DescargasMix.mkv,/Volumes/INTENSO/Movies/Movies tmp2/NARCOS/TEMPORADA 1,0.7339310410000001
Narcos.1x07.Lloraras.lagrimas.de.sangre.m720p.DescargasMix.mkv,/Volumes/INTENSO/Movies/Movies tmp2/NARCOS/TEMPORADA 1,0.752712012
Narcos.1x08.La.Gran.Mentira.m720p.DescargasMix.mkv,/Volumes/INTENSO/Movies/Movies tmp2/NARCOS/TEMPORADA 1,0.758230877
Narcos.1x09.La.Catedral.m720p.DescargasMix.mkv,/Volumes/INTENSO/Movies/Movies tmp2/NARCOS/TEMPORADA 1,0.7580428410000001
Narcos.1x10.Despegue.m720p.DescargasMix.mkv,/Volumes/INTENSO/Movies/Movies tmp2/NARCOS/TEMPORADA 1,0.6681140130000001
Narcos.2x01.m720p.v2.www.DESCARGASMIX.com.mkv,/Volumes/INTENSO/Movies/Movies tmp2/NARCOS/TEMPORADA 2,0.8642747040000001
Narcos.2x02.m720p.www.DESCARGASMIX.com.mkv,/Volumes/INTENSO/Movies/Movies tmp2/NARCOS/TEMPORADA 2,0.7610042300000001
Narcos.2x03.m720p.www.DESCARGASMIX.com.mkv,/Volumes/INTENSO/Movies/Movies tmp2/NARCOS/TEMPORADA 2,0.755923462
Narcos.2x04.m720p.www.DESCARGASMIX.com.mkv,/Volumes/INTENSO/Movies/Movies tmp2/NARCOS/TEMPORADA 2,0.9179792670000001
Narcos.2x05.m720p.www.DESCARGASMIX.com.mkv,/Volumes/INTENSO/Movies/Movies tmp2/NARCOS/TEMPORADA 2,0.8471003570000001
Narcos.2x06.m720p.www.DESCARGASMIX.com.mkv,/Volumes/INTENSO/Movies/Movies tmp2/NARCOS/TEMPORADA 2,0.8807037120000001
Narcos.2x07.m720p.www.DESCARGASMIX.com.mkv,/Volumes/INTENSO/Movies/Movies tmp2/NARCOS/TEMPORADA 2,0.917509211
Narcos.2x08.m720p.www.DESCARGASMIX.com.mkv,/Volumes/INTENSO/Movies/Movies tmp2/NARCOS/TEMPORADA 2,0.884991285
Narcos.2x09.m720p.www.DESCARGASMIX.com.mkv,/Volumes/INTENSO/Movies/Movies tmp2/NARCOS/TEMPORADA 2,0.924434277
Narcos.2x10.m720p.www.DESCARGASMIX.com.mkv,/Volumes/INTENSO/Movies/Movies tmp2/NARCOS/TEMPORADA 2,0.8605501720000001
Narcos.3x01.m720p.www.DESCARGASMIX.com.mkv,/Volumes/INTENSO/Movies/Movies tmp2/NARCOS/TEMPORADA 3,0.936190293
Narcos.3x02.m720p.www.DESCARGASMIX.com.mkv,/Volumes/INTENSO/Movies/Movies tmp2/NARCOS/TEMPORADA 3,0.8928200500000001
Narcos.3x03.m720p.www.DESCARGASMIX.com.mkv,/Volumes/INTENSO/Movies/Movies tmp2/NARCOS/TEMPORADA 3,1.062524862
Narcos.3x04.m720p.www.DESCARGASMIX.com.mkv,/Volumes/INTENSO/Movies/Movies tmp2/NARCOS/TEMPORADA 3,0.9508357940000001
Narcos.3x05.m720p.www.DESCARGASMIX.com.mkv,/Volumes/INTENSO/Movies/Movies tmp2/NARCOS/TEMPORADA 3,1.094274672
Narcos.3x06.m720p.www.DESCARGASMIX.com.mkv,/Volumes/INTENSO/Movies/Movies tmp2/NARCOS/TEMPORADA 3,1.032173091
Narcos.3x07.m720p.www.DESCARGASMIX.com.mkv,/Volumes/INTENSO/Movies/Movies tmp2/NARCOS/TEMPORADA 3,0.9070815940000001
Narcos.3x08.m720p.www.DESCARGASMIX.com.mkv,/Volumes/INTENSO/Movies/Movies tmp2/NARCOS/TEMPORADA 3,0.929424066
Narcos.3x09.m720p.www.DESCARGASMIX.com.mkv,/Volumes/INTENSO/Movies/Movies tmp2/NARCOS/TEMPORADA 3,0.845373589
Narcos.3x10.m720p.www.DESCARGASMIX.com.mkv,/Volumes/INTENSO/Movies/Movies tmp2/NARCOS/TEMPORADA 3,0.929588892
